,code,name
0,000001,平安银行
1,000002,万  科Ａ
2,000004,国华网安
3,000006,深振业Ａ
4,000007,*ST全新
5,000008,神州高铁
6,000009,中国宝安
7,000010,美丽生态
8,000011,深物业A
9,000012,南  玻Ａ
10,000014,沙河股份
11,000016,深康佳Ａ
12,000017,深中华A
13,000019,深粮控股
14,000020,深华发Ａ
15,000021,深科技
16,000023,*ST深天
17,000025,特  力Ａ
18,000026,飞亚达
19,000027,深圳能源
20,000028,国药一致
21,000029,深深房Ａ
22,000030,富奥股份
23,000031,大悦城
24,000032,深桑达Ａ
25,000034,神州数码
26,000035,中国天楹
27,000036,华联控股
28,000037,深南电A
29,000039,中集集团
30,000040,东旭蓝天
31,000042,中洲控股
32,000045,深纺织Ａ
33,000048,京基智农
34,000049,德赛电池
35,000050,深天马Ａ
36,000055,方大集团
37,000056,皇庭国际
38,000058,深 赛 格
39,000059,华锦股份
40,000060,中金岭南
41,000061,农 产 品
42,000062,深圳华强
43,000063,中兴通讯
44,000065,北方国际
45,000066,中国长城
46,000068,华控赛格
47,000069,华侨城Ａ
48,000070,ST特信
49,000078,海王生物
50,000088,盐 田 港
51,000089,深圳机场
52,000090,天健集团
53,000096,广聚能源
54,000099,中信海直
55,000100,TCL科技
56,000151,中成股份
57,000153,丰原药业
58,000155,川能动力
59,000156,华数传媒
60,000157,中联重科
61,000158,常山北明
62,000159,国际实业
63,000166,申万宏源
64,000301,东方盛虹
65,000333,美的集团
66,000338,潍柴动力
67,000400,许继电气
68,000401,冀东水泥
69,000402,金 融 街
70,000403,派林生物
71,000404,长虹华意
72,000407,胜利股份
73,000408,藏格矿业
74,000409,云鼎科技
75,000410,沈阳机床
76,000411,英特集团
77,000413,东旭光电
78,000415,渤海租赁
79,000416,*ST民控
80,000417,合肥百货
81,000419,通程控股
82,000420,吉林化纤
83,000421,南京公用
84,000422,湖北宜化
85,000423,东阿阿胶
86,000425,徐工机械
87,000426,兴业银锡
88,000428,华天酒店
89,000429,粤高速Ａ
90,000430,张家界
91,000488,晨鸣纸业
92,000498,山东路桥
93,000501,武商集团
94,000503,国新健康
95,000504,南华生物
96,000505,京粮控股
97,000506,*ST中润
98,000507,珠海港
99,000509,华塑控股
100,000510,新金路
101,000513,丽珠集团
102,000514,渝 开 发
103,000516,国际医学
104,000517,荣安地产
105,000518,四环生物
106,000519,中兵红箭
107,000520,凤凰航运
108,000521,长虹美菱
109,000523,红棉股份
110,000524,岭南控股
111,000525,ST红太阳
112,000526,学大教育
113,000528,柳    工
114,000529,广弘控股
115,000530,冰山冷热
116,000531,穗恒运Ａ
117,000532,华金资本
118,000533,顺钠股份
119,000534,万泽股份
120,000536,华映科技
121,000537,中绿电
122,000538,云南白药
123,000539,粤电力Ａ
124,000541,佛山照明
125,000543,皖能电力
126,000544,中原环保
127,000545,金浦钛业
128,000546,金圆股份
129,000547,航天发展
130,000548,湖南投资
131,000550,江铃汽车
132,000551,创元科技
133,000552,甘肃能化
134,000553,安道麦A
135,000554,泰山石油
136,000555,神州信息
137,000557,西部创业
138,000558,莱茵体育
139,000559,万向钱潮
140,000560,我爱我家
141,000561,烽火电子
142,000563,陕国投Ａ
143,000564,ST大集
144,000565,渝三峡Ａ
145,000566,海南海药
146,000567,海德股份
147,000568,泸州老窖
148,000570,苏常柴Ａ
149,000571,新大洲A
150,000572,海马汽车
151,000573,粤宏远Ａ
152,000576,甘化科工
153,000581,威孚高科
154,000582,北部湾港
155,000584,*ST工智
156,000586,汇源通信
157,000589,贵州轮胎
158,000590,启迪药业
159,000591,太阳能
160,000592,平潭发展
161,000593,德龙汇能
162,000595,宝塔实业
163,000596,古井贡酒
164,000597,东北制药
165,000598,兴蓉环境
166,000599,青岛双星
167,000600,建投能源
168,000601,韶能股份
169,000603,盛达资源
170,000605,渤海股份
171,000607,华媒控股
172,000608,阳光股份
173,000609,*ST中迪
174,000610,西安旅游
175,000612,焦作万方
176,000615,*ST美谷
177,000617,中油资本
178,000619,海螺新材
179,000620,*ST新联
180,000622,*ST恒立
181,000623,吉林敖东
182,000625,长安汽车
183,000626,远大控股
184,000627,天茂集团
185,000628,高新发展
186,000629,钒钛股份
187,000630,铜陵有色
188,000631,顺发恒业
189,000632,三木集团
190,000633,合金投资
191,000635,英 力 特
192,000636,风华高科
193,000637,ST实华
194,000638,万方发展
195,000639,西王食品
196,000650,仁和药业
197,000651,格力电器
198,000652,泰达股份
199,000655,金岭矿业
200,000656,*ST金科
201,000657,中钨高新
202,000659,珠海中富
203,000661,长春高新
204,000663,永安林业
205,000665,湖北广电
206,000668,荣丰控股
207,000669,ST金鸿
208,000670,盈方微
209,000672,上峰水泥
210,000676,智度股份
211,000677,恒天海龙
212,000678,襄阳轴承
213,000679,大连友谊
214,000680,山推股份
215,000681,视觉中国
216,000682,东方电子
217,000683,远兴能源
218,000685,中山公用
219,000686,东北证券
220,000688,国城矿业
221,000690,宝新能源
222,000691,亚太实业
223,000692,*ST惠天
224,000695,滨海能源
225,000697,炼石航空
226,000698,沈阳化工
227,000700,模塑科技
228,000701,厦门信达
229,000702,正虹科技
230,000703,恒逸石化
231,000705,浙江震元
232,000707,双环科技
233,000708,中信特钢
234,000709,河钢股份
235,000710,贝瑞基因
236,000711,*ST京蓝
237,000712,锦龙股份
238,000713,丰乐种业
239,000715,中兴商业
240,000716,黑芝麻
241,000717,中南股份
242,000718,苏宁环球
243,000719,中原传媒
244,000720,新能泰山
245,000721,西安饮食
246,000722,湖南发展
247,000723,美锦能源
248,000725,京东方Ａ
249,000726,鲁  泰Ａ
250,000727,冠捷科技
251,000728,国元证券
252,000729,燕京啤酒
253,000731,四川美丰
254,000733,振华科技
255,000735,罗 牛 山
256,000736,中交地产
257,000737,北方铜业
258,000738,航发控制
259,000739,普洛药业
260,000750,国海证券
261,000751,锌业股份
262,000752,*ST西发
263,000753,漳州发展
264,000755,山西高速
265,000756,新华制药
266,000757,浩物股份
267,000758,中色股份
268,000759,中百集团
269,000761,本钢板材
270,000762,西藏矿业
271,000766,通化金马
272,000767,晋控电力
273,000768,中航西飞
274,000776,广发证券
275,000777,中核科技
276,000778,新兴铸管
277,000779,甘咨询
278,000782,美达股份
279,000783,长江证券
280,000785,居然之家
281,000786,北新建材
282,000788,北大医药
283,000789,万年青
284,000790,华神科技
285,000791,甘肃能源
286,000792,盐湖股份
287,000793,华闻集团
288,000795,英洛华
289,000796,*ST凯撒
290,000797,中国武夷
291,000798,中水渔业
292,000799,酒鬼酒
293,000800,一汽解放
294,000801,四川九洲
295,000802,北京文化
296,000803,山高环能
297,000807,云铝股份
298,000809,*ST 新城
299,000810,创维数字
300,000811,冰轮环境
301,000812,陕西金叶
302,000813,德展健康
303,000815,美利云
304,000816,智慧农业
305,000818,航锦科技
306,000819,岳阳兴长
307,000820,神雾节能
308,000821,京山轻机
309,000822,山东海化
310,000823,超声电子
311,000825,太钢不锈
312,000826,启迪环境
313,000828,东莞控股
314,000829,天音控股
315,000830,鲁西化工
316,000831,中国稀土
317,000833,粤桂股份
318,000836,ST富通
319,000837,秦川机床
320,000838,财信发展
321,000839,ST国安
322,000848,承德露露
323,000850,华茂股份
324,000851,ST高鸿
325,000852,石化机械
326,000856,冀东装备
327,000858,五 粮 液
328,000859,国风新材
329,000860,顺鑫农业
330,000861,海印股份
331,000862,银星能源
332,000863,三湘印象
333,000868,安凯客车
334,000869,张  裕Ａ
335,000875,吉电股份
336,000876,新 希 望
337,000877,天山股份
338,000878,云南铜业
339,000880,潍柴重机
340,000881,中广核技
341,000882,华联股份
342,000883,湖北能源
343,000885,城发环境
344,000886,海南高速
345,000887,中鼎股份
346,000888,峨眉山Ａ
347,000889,ST中嘉
348,000890,法尔胜
349,000892,欢瑞世纪
350,000893,亚钾国际
351,000895,双汇发展
352,000897,津滨发展
353,000898,鞍钢股份
354,000899,赣能股份
355,000900,现代投资
356,000901,航天科技
357,000902,新洋丰
358,000903,云内动力
359,000905,厦门港务
360,000906,浙商中拓
361,000908,*ST景峰
362,000909,ST数源
363,000910,大亚圣象
364,000911,广农糖业
365,000912,泸天化
366,000913,钱江摩托
367,000915,华特达因
368,000917,电广传媒
369,000919,金陵药业
370,000920,沃顿科技
371,000921,海信家电
372,000922,佳电股份
373,000923,河钢资源
374,000925,众合科技
375,000926,福星股份
376,000927,中国铁物
377,000928,中钢国际
378,000929,兰州黄河
379,000930,中粮科技
380,000931,中 关 村
381,000932,华菱钢铁
382,000933,神火股份
383,000935,四川双马
384,000936,华西股份
385,000937,冀中能源
386,000938,紫光股份
387,000948,南天信息
388,000949,新乡化纤
389,000950,重药控股
390,000951,中国重汽
391,000952,广济药业
392,000953,河化股份
393,000955,欣龙控股
394,000957,中通客车
395,000958,电投产融
396,000959,首钢股份
397,000960,锡业股份
398,000961,ST中南
399,000962,东方钽业
400,000963,华东医药
401,000965,天保基建
402,000966,长源电力
403,000967,盈峰环境
404,000968,蓝焰控股
405,000969,安泰科技
406,000970,中科三环
407,000971,*ST高升
408,000972,中基健康
409,000973,佛塑科技
410,000975,银泰黄金
411,000976,ST华铁
412,000977,浪潮信息
413,000978,桂林旅游
414,000980,众泰汽车
415,000981,山子高科
416,000982,中银绒业
417,000983,山西焦煤
418,000985,大庆华科
419,000987,越秀资本
420,000988,华工科技
421,000989,ST九芝
422,000990,诚志股份
423,000993,闽东电力
424,000995,皇台酒业
425,000996,*ST中期
426,000997,新 大 陆
427,000998,隆平高科
428,000999,华润三九
429,001201,东瑞股份
430,001202,炬申股份
431,001203,大中矿业
432,001205,盛航股份
433,001206,依依股份
434,001207,联科科技
435,001208,华菱线缆
436,001209,洪兴股份
437,001210,金房能源
438,001211,双枪科技
439,001212,中旗新材
440,001213,中铁特货
441,001215,千味央厨
442,001216,华瓷股份
443,001217,华尔泰
444,001218,丽臣实业
445,001219,青岛食品
446,001222,源飞宠物
447,001223,欧克科技
448,001225,和泰机电
449,001226,拓山重工
450,001227,兰州银行
451,001228,永泰运
452,001229,魅视科技
453,001230,劲旅环境
454,001231,农心科技
455,001234,泰慕士
456,001236,弘业期货
457,001238,浙江正特
458,001239,永达股份
459,001255,博菲电气
460,001256,炜冈科技
461,001258,立新能源
462,001259,利仁科技
463,001260,坤泰股份
464,001266,宏英智能
465,001267,汇绿生态
466,001268,联合精密
467,001269,欧晶科技
468,001270,铖昌科技
469,001278,一彬科技
470,001282,三联锻造
471,001283,豪鹏科技
472,001286,陕西能源
473,001287,中电港
474,001288,运机集团
475,001289,龙源电力
476,001296,长江材料
477,001298,好上好
478,001299,美能能源
479,001300,三柏硕
480,001301,尚太科技
481,001306,夏厦精密
482,001308,康冠科技
483,001309,德明利
484,001311,多利科技
485,001313,粤海饲料
486,001314,亿道信息
487,001316,润贝航科
488,001317,三羊马
489,001318,阳光乳业
490,001319,铭科精技
491,001322,箭牌家居
492,001323,慕思股份
493,001324,长青科技
494,001326,联域股份
495,001328,登康口腔
496,001330,博纳影业
497,001331,胜通能源
498,001332,锡装股份
499,001333,光华股份
500,001336,楚环科技
501,001337,四川黄金
502,001338,永顺泰
503,001339,智微智能
504,001358,兴欣新材
505,001359,平安电工
506,001360,南矿集团
507,001366,播恩集团
508,001367,海森药业
509,001368,通达创智
510,001373,翔腾新材
511,001376,百通能源
512,001378,德冠新材
513,001379,腾达科技
514,001380,华纬科技
515,001387,雪祺电气
516,001389,广合科技
517,001696,宗申动力
518,001872,招商港口
519,001896,豫能控股
520,001914,招商积余
521,001965,招商公路
522,001979,招商蛇口
523,002001,新 和 成
524,002003,伟星股份
525,002004,华邦健康
526,002005,ST德豪
527,002006,精工科技
528,002007,华兰生物
529,002008,大族激光
530,002009,天奇股份
531,002010,传化智联
532,002011,盾安环境
533,002012,凯恩股份
534,002014,永新股份
535,002015,协鑫能科
536,002016,世荣兆业
537,002017,东信和平
538,002019,亿帆医药
539,002020,京新药业
540,002021,*ST中捷
541,002022,科华生物
542,002023,海特高新
543,002024,ST易购
544,002025,航天电器
545,002026,山东威达
546,002027,分众传媒
547,002028,思源电气
548,002029,七 匹 狼
549,002030,达安基因
550,002031,巨轮智能
551,002032,苏 泊 尔
552,002033,丽江股份
553,002034,旺能环境
554,002035,华帝股份
555,002036,联创电子
556,002037,保利联合
557,002038,双鹭药业
558,002039,黔源电力
559,002040,南 京 港
560,002041,登海种业
561,002042,华孚时尚
562,002043,兔 宝 宝
563,002044,美年健康
564,002045,国光电器
565,002046,国机精工
566,002047,宝鹰股份
567,002048,宁波华翔
568,002049,紫光国微
569,002050,三花智控
570,002051,中工国际
571,002052,*ST同洲
572,002053,云南能投
573,002054,德美化工
574,002055,得润电子
575,002056,横店东磁
576,002057,中钢天源
577,002058,威尔泰
578,002059,云南旅游
579,002060,广东建工
580,002061,浙江交科
581,002062,宏润建设
582,002063,远光软件
583,002064,华峰化学
584,002065,东华软件
585,002066,瑞泰科技
586,002067,景兴纸业
587,002068,黑猫股份
588,002069,獐子岛
589,002072,凯瑞德
590,002073,软控股份
591,002074,国轩高科
592,002075,沙钢股份
593,002076,星光股份
594,002077,大港股份
595,002078,太阳纸业
596,002079,苏州固锝
597,002080,中材科技
598,002081,金 螳 螂
599,002082,万邦德
600,002083,孚日股份
601,002084,海鸥住工
602,002085,万丰奥威
603,002086,*ST东洋
604,002087,*ST新纺
605,002088,鲁阳节能
606,002090,金智科技
607,002091,江苏国泰
608,002092,中泰化学
609,002093,国脉科技
610,002094,青岛金王
611,002095,生 意 宝
612,002096,易普力
613,002097,山河智能
614,002098,浔兴股份
615,002099,海翔药业
616,002100,天康生物
617,002101,广东鸿图
618,002102,能特科技
619,002103,广博股份
620,002104,恒宝股份
621,002105,信隆健康
622,002106,莱宝高科
623,002107,沃华医药
624,002108,沧州明珠
625,002109,兴化股份
626,002110,三钢闽光
627,002111,威海广泰
628,002112,三变科技
629,002114,罗平锌电
630,002115,三维通信
631,002116,中国海诚
632,002117,东港股份
633,002119,康强电子
634,002120,韵达股份
635,002121,科陆电子
636,002122,汇洲智能
637,002123,梦网科技
638,002124,ST天邦
639,002125,湘潭电化
640,002126,银轮股份
641,002127,南极电商
642,002128,电投能源
643,002129,TCL中环
644,002130,沃尔核材
645,002131,利欧股份
646,002132,恒星科技
647,002133,广宇集团
648,002134,天津普林
649,002135,东南网架
650,002136,安 纳 达
651,002137,实益达
652,002138,顺络电子
653,002139,拓邦股份
654,002140,东华科技
655,002141,*ST贤丰
656,002142,宁波银行
657,002144,宏达高科
658,002145,中核钛白
659,002146,荣盛发展
660,002148,北纬科技
661,002149,西部材料
662,002150,通润装备
663,002151,北斗星通
664,002152,广电运通
665,002153,石基信息
666,002154,报 喜 鸟
667,002155,湖南黄金
668,002156,通富微电
669,002157,*ST 正邦
670,002158,汉钟精机
671,002159,三特索道
672,002160,常铝股份
673,002161,远 望 谷
674,002162,悦心健康
675,002163,海南发展
676,002164,宁波东力
677,002165,红 宝 丽
678,002166,莱茵生物
679,002167,东方锆业
680,002168,惠程科技
681,002169,智光电气
682,002170,芭田股份
683,002171,楚江新材
684,002172,澳洋健康
685,002173,创新医疗
686,002174,游族网络
687,002175,东方智造
688,002176,江特电机
689,002177,御银股份
690,002178,延华智能
691,002179,中航光电
692,002180,纳思达
693,002181,粤 传 媒
694,002182,宝武镁业
695,002183,怡 亚 通
696,002184,海得控制
697,002185,华天科技
698,002186,全 聚 德
699,002187,广百股份
700,002188,中天服务
701,002189,中光学
702,002190,成飞集成
703,002191,劲嘉股份
704,002192,融捷股份
705,002193,如意集团
706,002194,武汉凡谷
707,002195,岩山科技
708,002196,方正电机
709,002197,ST证通
710,002198,嘉应制药
711,002199,东晶电子
712,002200,ST交投
713,002201,正威新材
714,002202,金风科技
715,002203,海亮股份
716,002204,大连重工
717,002205,国统股份
718,002206,海 利 得
719,002207,准油股份
720,002208,合肥城建
721,002209,达 意 隆
722,002210,飞马国际
723,002211,宏达新材
724,002212,天融信
725,002213,大为股份
726,002214,大立科技
727,002215,诺 普 信
728,002216,三全食品
729,002217,*ST合泰
730,002218,拓日新能
731,002219,新里程
732,002221,东华能源
733,002222,福晶科技
734,002223,鱼跃医疗
735,002224,三 力 士
736,002225,濮耐股份
737,002226,江南化工
738,002227,奥 特 迅
739,002228,合兴包装
740,002229,鸿博股份
741,002230,科大讯飞
742,002231,奥维通信
743,002232,启明信息
744,002233,塔牌集团
745,002234,民和股份
746,002235,安妮股份
747,002236,大华股份
748,002237,恒邦股份
749,002238,天威视讯
750,002239,奥特佳
751,002240,盛新锂能
752,002241,歌尔股份
753,002242,九阳股份
754,002243,力合科创
755,002244,滨江集团
756,002245,蔚蓝锂芯
757,002246,北化股份
758,002247,聚力文化
759,002248,华东数控
760,002249,大洋电机
761,002250,联化科技
762,002251,*ST步高
763,002252,上海莱士
764,002253,川大智胜
765,002254,泰和新材
766,002255,海陆重工
767,002256,兆新股份
768,002258,利尔化学
769,002259,ST升达
770,002261,拓维信息
771,002262,恩华药业
772,002263,大东南
773,002264,新 华 都
774,002265,建设工业
775,002266,浙富控股
776,002267,陕天然气
777,002268,电科网安
778,002269,美邦服饰
779,002270,华明装备
780,002271,东方雨虹
781,002272,川润股份
782,002273,水晶光电
783,002274,华昌化工
784,002275,桂林三金
785,002276,万马股份
786,002277,友阿股份
787,002278,神开股份
788,002279,久其软件
789,002280,ST联络
790,002281,光迅科技
791,002282,博深股份
792,002283,天润工业
793,002284,亚太股份
794,002285,世联行
795,002286,保龄宝
796,002287,奇正藏药
797,002288,*ST超华
798,002289,ST宇顺
799,002290,禾盛新材
800,002291,遥望科技
801,002292,奥飞娱乐
802,002293,罗莱生活
803,002294,信立泰
804,002295,精艺股份
805,002296,辉煌科技
806,002297,博云新材
807,002298,中电兴发
808,002299,圣农发展
809,002300,太阳电缆
810,002301,齐心集团
811,002302,西部建设
812,002303,美盈森
813,002304,洋河股份
814,002305,南国置业
815,002306,中科云网
816,002307,北新路桥
817,002308,威创股份
818,002309,*ST中利
819,002310,*ST东园
820,002311,海大集团
821,002312,川发龙蟒
822,002313,日海智能
823,002314,南山控股
824,002315,焦点科技
825,002316,亚联发展
826,002317,众生药业
827,002318,久立特材
828,002319,乐通股份
829,002320,海峡股份
830,002321,华英农业
831,002322,理工能科
832,002323,雅博股份
833,002324,普利特
834,002325,*ST洪涛
835,002326,永太科技
836,002327,富安娜
837,002328,新朋股份
838,002329,皇氏集团
839,002330,得利斯
840,002331,皖通科技
841,002332,仙琚制药
842,002333,罗普斯金
843,002334,英威腾
844,002335,科华数据
845,002336,*ST人乐
846,002337,赛象科技
847,002338,奥普光电
848,002339,积成电子
849,002340,格林美
850,002341,ST新纶
851,002342,巨力索具
852,002343,慈文传媒
853,002344,海宁皮城
854,002345,潮宏基
855,002346,柘中股份
856,002347,泰尔股份
857,002348,高乐股份
858,002349,精华制药
859,002350,北京科锐
860,002351,漫步者
861,002352,顺丰控股
862,002353,杰瑞股份
863,002354,天娱数科
864,002355,兴民智通
865,002356,赫美集团
866,002357,富临运业
867,002358,森源电气
868,002360,同德化工
869,002361,神剑股份
870,002362,汉王科技
871,002363,隆基机械
872,002364,中恒电气
873,002365,永安药业
874,002366,融发核电
875,002367,康力电梯
876,002368,太极股份
877,002369,卓翼科技
878,002370,亚太药业
879,002371,北方华创
880,002372,伟星新材
881,002373,千方科技
882,002374,中锐股份
883,002375,亚厦股份
884,002376,新北洋
885,002377,国创高新
886,002378,章源钨业
887,002379,宏创控股
888,002380,科远智慧
889,002381,双箭股份
890,002382,蓝帆医疗
891,002383,合众思壮
892,002384,东山精密
893,002385,大北农
894,002386,天原股份
895,002387,维信诺
896,002388,新亚制程
897,002389,航天彩虹
898,002390,信邦制药
899,002391,长青股份
900,002392,北京利尔
901,002393,力生制药
902,002394,联发股份
903,002395,双象股份
904,002396,星网锐捷
905,002397,梦洁股份
906,002398,垒知集团
907,002399,海普瑞
908,002400,省广集团
909,002401,中远海科
910,002402,和而泰
911,002403,爱仕达
912,002404,嘉欣丝绸
913,002405,四维图新
914,002406,远东传动
915,002407,多氟多
916,002408,齐翔腾达
917,002409,雅克科技
918,002410,广联达
919,002412,汉森制药
920,002413,雷科防务
921,002414,高德红外
922,002415,海康威视
923,002416,爱施德
924,002418,康盛股份
925,002419,天虹股份
926,002420,毅昌科技
927,002421,达实智能
928,002422,科伦药业
929,002423,中粮资本
930,002424,ST百灵
931,002425,凯撒文化
932,002426,胜利精密
933,002427,尤夫股份
934,002428,云南锗业
935,002429,兆驰股份
936,002430,杭氧股份
937,002431,棕榈股份
938,002432,九安医疗
939,002433,*ST太安
940,002434,万里扬
941,002435,ST长康
942,002436,兴森科技
943,002437,誉衡药业
944,002438,江苏神通
945,002439,启明星辰
946,002440,闰土股份
947,002441,众业达
948,002442,龙星化工
949,002443,金洲管道
950,002444,巨星科技
951,002445,中南文化
952,002446,盛路通信
953,002448,中原内配
954,002449,国星光电
955,002451,摩恩电气
956,002452,长高电新
957,002453,华软科技
958,002454,松芝股份
959,002455,百川股份
960,002456,欧菲光
961,002457,青龙管业
962,002458,益生股份
963,002459,晶澳科技
964,002460,赣锋锂业
965,002461,珠江啤酒
966,002462,嘉事堂
967,002463,沪电股份
968,002465,海格通信
969,002466,天齐锂业
970,002467,二六三
971,002468,申通快递
972,002469,三维化学
973,002470,金正大
974,002471,中超控股
975,002472,双环传动
976,002474,榕基软件
977,002475,立讯精密
978,002476,宝莫股份
979,002478,常宝股份
980,002479,富春环保
981,002480,新筑股份
982,002481,双塔食品
983,002482,*ST广田
984,002483,润邦股份
985,002484,江海股份
986,002485,ST雪发
987,002486,嘉麟杰
988,002487,大金重工
989,002488,金固股份
990,002489,浙江永强
991,002490,ST墨龙
992,002491,通鼎互联
993,002492,恒基达鑫
994,002493,荣盛石化
995,002494,华斯股份
996,002495,佳隆股份
997,002496,辉丰股份
998,002497,雅化集团
999,002498,汉缆股份
1000,002500,山西证券
1001,002501,利源股份
1002,002502,ST鼎龙
1003,002505,鹏都农牧
1004,002506,协鑫集成
1005,002507,涪陵榨菜
1006,002508,老板电器
1007,002510,天汽模
1008,002511,中顺洁柔
1009,002512,达华智能
1010,002513,蓝丰生化
1011,002514,宝馨科技
1012,002515,金字火腿
1013,002516,旷达科技
1014,002517,恺英网络
1015,002518,科士达
1016,002519,银河电子
1017,002520,日发精机
1018,002521,齐峰新材
1019,002522,浙江众成
1020,002523,天桥起重
1021,002524,光正眼科
1022,002526,山东矿机
1023,002527,新时达
1024,002528,ST英飞拓
1025,002529,海源复材
1026,002530,金财互联
1027,002531,天顺风能
1028,002532,天山铝业
1029,002533,金杯电工
1030,002534,西子洁能
1031,002535,林州重机
1032,002536,飞龙股份
1033,002537,海联金汇
1034,002538,司尔特
1035,002539,云图控股
1036,002540,亚太科技
1037,002541,鸿路钢构
1038,002542,中化岩土
1039,002543,万和电气
1040,002544,普天科技
1041,002545,东方铁塔
1042,002546,新联电子
1043,002547,春兴精工
1044,002548,金新农
1045,002549,凯美特气
1046,002550,千红制药
1047,002551,尚荣医疗
1048,002552,宝鼎科技
1049,002553,南方精工
1050,002554,惠博普
1051,002555,三七互娱
1052,002556,辉隆股份
1053,002557,洽洽食品
1054,002558,巨人网络
1055,002559,亚威股份
1056,002560,通达股份
1057,002561,徐家汇
1058,002562,兄弟科技
1059,002563,森马服饰
1060,002564,*ST天沃
1061,002565,顺灏股份
1062,002566,益盛药业
1063,002567,唐人神
1064,002568,百润股份
1065,002569,ST步森
1066,002570,贝因美
1067,002571,德力股份
1068,002572,索菲亚
1069,002573,清新环境
1070,002574,明牌珠宝
1071,002575,群兴玩具
1072,002576,通达动力
1073,002577,雷柏科技
1074,002578,闽发铝业
1075,002579,中京电子
1076,002580,圣阳股份
1077,002581,未名医药
1078,002582,好想你
1079,002583,海能达
1080,002584,西陇科学
1081,002585,双星新材
1082,002586,*ST围海
1083,002587,奥拓电子
1084,002588,史丹利
1085,002589,瑞康医药
1086,002590,万安科技
1087,002591,恒大高新
1088,002592,ST八菱
1089,002593,日上集团
1090,002594,比亚迪
1091,002595,豪迈科技
1092,002596,海南瑞泽
1093,002597,金禾实业
1094,002598,山东章鼓
1095,002599,盛通股份
1096,002600,领益智造
1097,002601,龙佰集团
1098,002602,世纪华通
1099,002603,以岭药业
1100,002605,姚记科技
1101,002606,大连电瓷
1102,002607,中公教育
1103,002608,江苏国信
1104,002609,捷顺科技
1105,002610,ST爱康
1106,002611,东方精工
1107,002612,朗姿股份
1108,002613,北玻股份
1109,002614,奥佳华
1110,002615,哈尔斯
1111,002616,长青集团
1112,002617,露笑科技
1113,002620,瑞和股份
1114,002621,*ST美吉
1115,002622,皓宸医疗
1116,002623,亚玛顿
1117,002624,完美世界
